signal_name,n_files_present,pct_files_present_opened,pct_files_present_catalog,n_unique_vins,pct_vins_present,first_seen_date,last_seen_date,n_files_empty,pct_files_empty_among_present,min_non_empty_length,max_non_empty_length
ABS_BrkCtl_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
ABS_OffRoadSwtchStatTires,19012,0.8947244576215352,0.8947244576215352,90,0.9375,20121008,20211006,0,0.0,1,86401
ABS_OffRoadSwtch_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
ABS_RetCont_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
ABS_WrnLmp_1587,20710,0.9746341004282556,0.9746341004282556,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
ASRHillHolderSwtchTire,19012,0.8947244576215352,0.8947244576215352,90,0.9375,20121008,20211006,0,0.0,1,86401
ASROffRoadSwtchTire,19012,0.8947244576215352,0.8947244576215352,90,0.9375,20121008,20211006,0,0.0,1,86401
ATCBrkCtl_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
ATCEngCtl_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
ATCStatusLamp_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
ATCsnowMudSwtch_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
ATCspinOutDetection_1587,21041,0.9902113040613676,0.9902113040613676,95,0.9895833333333334,20121008,20211006,0,0.0,1,86401
AccelPedalPos,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
AccelPedalPos_1587,20988,0.987717069038543,0.987717069038543,96,1.0,20121008,20211006,0,0.0,1,86401
Act_RetardPctTorqExh,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
AutoGearShiftEnabSwtch,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
AuxHeatCoolPumpReq,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
AuxHeatModeReq,20687,0.973551696550426,0.973551696550426,96,1.0,20121008,20211006,0,0.0,1,86401
Ave_FuelEco,21235,0.999341145465669,0.999341145465669,96,1.0,20121008,20211006,0,0.0,1,86401
Avg_FuelEco_1587,20936,0.9852698950538848,0.9852698950538848,96,1.0,20121008,20211006,0,0.0,1,86401
