group,model,vin,filename,path,error
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160204_1649_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160204_1649_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160208_1553_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160208_1553_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160219_2219_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160219_2219_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160226_2028_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160226_2028_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160229_1553_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160229_1553_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160302_0017_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160302_0017_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160303_1703_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160303_1703_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160307_1607_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160307_1607_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160314_1438_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160314_1438_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160321_1934_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160321_1934_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160322_1155_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160322_1155_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160329_1436_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160329_1436_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
Group1,MODEL0021,VIN02743,MODEL0021_VIN02743_20160330_1226_FAMILY0003_B_TS_Daily.cdf,C:\Users\ggugaratshan\OneDrive - HBK\Documents\2_SIADS\SIADS699\Project\data\raw\Group1\MODEL0021\VIN02743\2016\MODEL0021_VIN02743_20160330_1226_FAMILY0003_B_TS_Daily.cdf,CORRUPTED_V3_CDF: Version 3 CDF is corrupted.
