vin,n_events,n_fail,fail_rate,worst_severity,first_fail,last_fail
00910,3122,0,0.0,3.0,2016-08-10 15:38:12,2021-06-30 15:51:10
01066,4553,0,0.0,3.0,2016-04-05 14:52:05,2021-08-31 15:01:56
01075,14368,0,0.0,3.0,2014-01-27 19:54:06,2021-02-11 02:15:49
01318,2099,0,0.0,3.0,2014-02-05 14:28:22,2021-03-11 20:06:35
01321,844,0,0.0,3.0,2013-05-03 11:08:51,2021-08-26 19:13:53
02742,6265,0,0.0,3.0,2019-07-24 14:14:31,2021-09-22 23:59:41
02743,12378,0,0.0,3.0,2016-07-05 22:44:17,2021-09-02 18:28:51
02744,17651,0,0.0,3.0,2016-02-08 18:13:31,2021-09-08 16:40:44
02745,12629,0,0.0,3.0,2019-07-19 15:15:56,2021-09-13 10:14:45
02746,1622,0,0.0,3.0,2016-10-24 20:12:38,2021-08-31 16:04:13
02747,3013,0,0.0,3.0,2020-10-28 19:46:16,2021-10-04 21:33:13
02752,1403,0,0.0,3.0,2016-05-18 15:01:52,2020-04-06 20:16:50
02753,14209,1,7.037792948131466e-05,3.0,2016-02-26 17:55:59,2021-08-16 19:33:51
02754,13850,0,0.0,3.0,2016-09-15 14:32:48,2021-02-03 17:41:57
02755,6941,0,0.0,3.0,2016-09-08 13:25:58,2021-09-29 21:27:19
02756,15084,0,0.0,3.0,2016-06-23 14:51:37,2021-06-15 20:51:57
02757,15639,0,0.0,3.0,2016-02-09 15:18:20,2021-09-01 18:18:53
02758,2355,0,0.0,3.0,2016-03-07 13:55:57,2021-09-08 18:45:45
02759,7783,0,0.0,3.0,2016-02-02 16:40:16,2021-08-12 11:12:21
02760,8908,0,0.0,3.0,2016-05-11 22:22:21,2021-09-23 19:09:09
02761,9189,0,0.0,3.0,2016-02-29 22:15:09,2021-09-01 17:28:24
02762,5779,0,0.0,3.0,2016-03-01 20:59:14,2021-09-07 20:55:08
02763,21453,0,0.0,3.0,2016-03-18 22:48:06,2021-09-07 22:12:18
02764,478,0,0.0,3.0,2020-11-06 13:17:34,2021-09-02 17:45:45
02765,191,0,0.0,2.9,2021-05-10 15:09:37,2021-05-17 15:03:31
