vin,schema_sig,n_files,share
VIN00910,9dd0f3b01c0356db089b60885131427cbf97ed12,20,0.04484304932735426
VIN00910,394d0ec7b49bf08946ede9e755f8bc8ef007d46f,43,0.09641255605381166
VIN00910,36539f95a251b62a0aac0b17e7bcb8a5468fffc9,18,0.04035874439461883
VIN00910,96b6dcdb2b5b4cc016f9a10653386f7da2528fda,19,0.042600896860986545
VIN00910,6f5cb1e26bae43ed03d16c4192e7a1dbb4ace0a1,4,0.008968609865470852
VIN00910,9d59d9f9c224c310b417eccf31ac125a95335efb,5,0.011210762331838564
VIN00910,18fb21dd75638f35675b536027fce9dde86604b5,4,0.008968609865470852
VIN00910,9eb8a7c42724d4b83504212bf8345c3a302f54ac,8,0.017937219730941704
VIN00910,48cc47fa76dc9ceea1a04b0f691fae8cf773e40e,1,0.002242152466367713
VIN00910,0744d6b26d20e60c09e732f55a9fe906c8f5a9ad,153,0.3430493273542601
VIN00910,de534969ddf968f8203a2bfd96f0943398930c7b,1,0.002242152466367713
VIN00910,6576e3639ea46c64840ce18d70df87e0500532da,15,0.033632286995515695
VIN00910,4fe3c1ec2b525b20fa5606a546cc7949bdbbd503,12,0.026905829596412557
VIN00910,d3f3e2eaf4d16f3161d55c4d8f9c2cae23e21ba4,1,0.002242152466367713
VIN00910,4da5cc58604d29a957b6e18efb262497abd821cd,36,0.08071748878923767
VIN00910,72677ab6560e2dc960d589cf972b5be4887eda87,2,0.004484304932735426
VIN00910,d447066e00066f84a698e5eb2dd20b8296ab5f30,9,0.020179372197309416
VIN00910,c595852ecc64e7b17533a97a9bb06b32042b65cc,1,0.002242152466367713
VIN00910,d75f81aa4cb1a22aae5ebe56bfdbadd503e3cdc7,69,0.1547085201793722
VIN00910,cc2316599f5f06df418e457139458732b0d3fd9c,1,0.002242152466367713
VIN00910,0e84a8db1769aa2a1396b892e272f95cf02eccc3,2,0.004484304932735426
VIN00910,8db899c15c418b958697ce5305c5444cad6a481d,2,0.004484304932735426
VIN00910,c715a9a7d847dff77b982aa4eeb8216c8ffcf649,1,0.002242152466367713
VIN00910,cff5131ed8e46fad8a679af39e2f2b9c202d49b2,1,0.002242152466367713
VIN00910,b074e416cfed27bbb2c2557dc08e7b307e8ec8e7,3,0.006726457399103139
VIN00910,cc29044a3fab14ce27c41dab21e5fc151f52b426,1,0.002242152466367713
VIN00910,5a0daeb4f232dddb2d2fd71713cf8081b8448647,1,0.002242152466367713
VIN00910,e6632161adb812f3c684114879be3d6d11273498,1,0.002242152466367713
VIN00910,3a5d8675c369277cf87ab4d3dbbaa3a9545817b7,1,0.002242152466367713
VIN00910,7c7a4dd0d016dc121a457605d6ee253364e5e36d,5,0.011210762331838564
VIN00910,95cad862c0e1acbdfddeb910b3693cbf1676a9ff,6,0.013452914798206279
VIN01066,6576e3639ea46c64840ce18d70df87e0500532da,144,0.4752475247524752
VIN01066,9eb8a7c42724d4b83504212bf8345c3a302f54ac,5,0.0165016501650165
VIN01066,9d59d9f9c224c310b417eccf31ac125a95335efb,2,0.006600660066006601
VIN01066,18fb21dd75638f35675b536027fce9dde86604b5,23,0.07590759075907591
VIN01066,d3f3e2eaf4d16f3161d55c4d8f9c2cae23e21ba4,2,0.006600660066006601
VIN01066,36539f95a251b62a0aac0b17e7bcb8a5468fffc9,87,0.2871287128712871
VIN01066,6f5cb1e26bae43ed03d16c4192e7a1dbb4ace0a1,2,0.006600660066006601
VIN01066,8ad29b9f453b3b6bf239481fe048803b1181cb09,1,0.0033003300330033004
VIN01066,d447066e00066f84a698e5eb2dd20b8296ab5f30,9,0.0297029702970297
VIN01066,4fe3c1ec2b525b20fa5606a546cc7949bdbbd503,9,0.0297029702970297
VIN01066,72677ab6560e2dc960d589cf972b5be4887eda87,9,0.0297029702970297
VIN01066,bcae660c8011b6dcb071de0f1da1ec1dcb8aa8b2,1,0.0033003300330033004
VIN01066,0e84a8db1769aa2a1396b892e272f95cf02eccc3,1,0.0033003300330033004
VIN01066,cc2316599f5f06df418e457139458732b0d3fd9c,1,0.0033003300330033004
VIN01066,d720dce52b80c460068f482f495a78fb7685bacf,1,0.0033003300330033004
VIN01066,b074e416cfed27bbb2c2557dc08e7b307e8ec8e7,1,0.0033003300330033004
VIN01066,cbce1328439852c5744cbc4d385e892759f7ce31,1,0.0033003300330033004
VIN01066,7bdbd056849ea5cf43db415febe408517645c637,2,0.006600660066006601
VIN01066,76b3dcaf3beb0e823c970b3da069a077533e8d51,1,0.0033003300330033004
VIN01066,384f00cdde9b25637c041366a246e86949541e96,1,0.0033003300330033004
VIN01075,9dd0f3b01c0356db089b60885131427cbf97ed12,64,0.08731241473396999
VIN01075,394d0ec7b49bf08946ede9e755f8bc8ef007d46f,36,0.04911323328785812
VIN01075,ed0d16b813bdf42093f9a4a768517741acf2e8f4,1,0.001364256480218281
VIN01075,d949287c5eeff9106235888776606f1587de9fab,65,0.08867667121418826
VIN01075,cd7d85a53069f419dc7a53a05fbdd1422003ba84,6,0.008185538881309686
VIN01075,5619ca74e94628d12d738f880db81747245dd8f9,43,0.058663028649386086
VIN01075,86adc7ec0071558f063e015265a6a5e925809d2e,1,0.001364256480218281
VIN01075,96b6dcdb2b5b4cc016f9a10653386f7da2528fda,47,0.06412005457025921
VIN01075,9eb8a7c42724d4b83504212bf8345c3a302f54ac,66,0.09004092769440655
VIN01075,36539f95a251b62a0aac0b17e7bcb8a5468fffc9,17,0.023192360163710776
VIN01075,8a98e9ba3e5b70f9b8dd323367f2d41c11f82814,1,0.001364256480218281
VIN01075,18fb21dd75638f35675b536027fce9dde86604b5,11,0.015006821282401092
VIN01075,d3f3e2eaf4d16f3161d55c4d8f9c2cae23e21ba4,3,0.004092769440654843
VIN01075,6f5cb1e26bae43ed03d16c4192e7a1dbb4ace0a1,7,0.009549795361527967
VIN01075,9d59d9f9c224c310b417eccf31ac125a95335efb,6,0.008185538881309686
VIN01075,8c090d3d44cbb8109e1e5fcd02a3e63740a19f55,1,0.001364256480218281
VIN01075,5d859b284720ca5efbfe279636d4bd9697fc2b88,1,0.001364256480218281
VIN01075,f4848925aa1af16e7b7fe6e9ccf05fe638334c79,1,0.001364256480218281
VIN01075,a3b1a6e35a9096fd18fe48d029249c3826054966,1,0.001364256480218281
VIN01075,282e6b28cfbb7321f283dfa907869f9dd42e2dc6,1,0.001364256480218281
VIN01075,0744d6b26d20e60c09e732f55a9fe906c8f5a9ad,151,0.20600272851296045
VIN01075,6576e3639ea46c64840ce18d70df87e0500532da,7,0.009549795361527967
VIN01075,4da5cc58604d29a957b6e18efb262497abd821cd,142,0.1937244201909959
VIN01075,d447066e00066f84a698e5eb2dd20b8296ab5f30,7,0.009549795361527967
VIN01075,4fe3c1ec2b525b20fa5606a546cc7949bdbbd503,14,0.019099590723055934
VIN01075,b074e416cfed27bbb2c2557dc08e7b307e8ec8e7,12,0.01637107776261937
VIN01075,c715a9a7d847dff77b982aa4eeb8216c8ffcf649,3,0.004092769440654843
VIN01075,ce8a3932b7251dcdfda5c9a4af0d4b72ef48a4d6,1,0.001364256480218281
VIN01075,2ba87dac6c7232940f936821738b28a616a9d1e3,1,0.001364256480218281
VIN01075,c595852ecc64e7b17533a97a9bb06b32042b65cc,3,0.004092769440654843
VIN01075,bfe30f8a540b912f5fdf0e7f7b72ba08c9dfbc5b,1,0.001364256480218281
VIN01075,ddbadf70ccf388d5d758a1958439360e6ab5095b,1,0.001364256480218281
VIN01075,2ee1e48940f0e7d69094803b6a17b1359b4ec6d5,1,0.001364256480218281
VIN01075,0c58bc3942cd5a5ae4014c5cd2f2c43ff372b324,1,0.001364256480218281
VIN01075,d19aa79b1616271ffe3f5e95479b5fbb2ffb9baf,1,0.001364256480218281
VIN01075,d7c20464887bcfaa8e6a49e1c603b8de74d3e1a8,1,0.001364256480218281
VIN01075,4fe4854d081dc8678d7bd4c9df97ad450be4145c,1,0.001364256480218281
VIN01075,de534969ddf968f8203a2bfd96f0943398930c7b,1,0.001364256480218281
VIN01075,4309d6fde7404bc9db1a0475a37982d0bc4507ce,1,0.001364256480218281
VIN01075,c12c9896eeba430315c061984c9e3ef2b0853535,1,0.001364256480218281
VIN01075,95b6ed5ce5a98ccdb4701c37a33d3264cbee5639,1,0.001364256480218281
VIN01075,3b7cfb194a16bf05940a2cccfd07beb7879963c9,1,0.001364256480218281
VIN01075,b21dfce8f34245449a1bde337f040ef26eac52eb,1,0.001364256480218281
VIN01318,9dd0f3b01c0356db089b60885131427cbf97ed12,30,0.06423982869379015
VIN01318,394d0ec7b49bf08946ede9e755f8bc8ef007d46f,17,0.03640256959314775
VIN01318,d949287c5eeff9106235888776606f1587de9fab,29,0.06209850107066381
VIN01318,cd7d85a53069f419dc7a53a05fbdd1422003ba84,3,0.006423982869379015
VIN01318,5619ca74e94628d12d738f880db81747245dd8f9,38,0.08137044967880086
VIN01318,bebff07e77044fd4db2de785ed435e6c264b6486,1,0.0021413276231263384
VIN01318,9d59d9f9c224c310b417eccf31ac125a95335efb,5,0.010706638115631691
VIN01318,bbee29ebb2becc9d23e8eb0352d1b2b96a0d7dd1,5,0.010706638115631691
VIN01318,9eb8a7c42724d4b83504212bf8345c3a302f54ac,16,0.034261241970021415
VIN01318,18fb21dd75638f35675b536027fce9dde86604b5,44,0.09421841541755889
