Model,VIN,Inspection_Status
MODEL0028,VIN01075,STUCK_OPEN
MODEL0034,VIN01318,STUCK_OPEN
MODEL0034,VIN01321,STUCK_OPEN
MODEL0022,VIN02742,STUCK_OPEN
MODEL0021,VIN02743,GOOD
MODEL0021,VIN02744,NO_GO
MODEL0029,VIN02747,STUCK_OPEN
MODEL0042,VIN02752,GOOD
MODEL0021,VIN02753,GOOD
MODEL0021,VIN02754,GOOD
MODEL0021,VIN02756,GOOD
MODEL0034,VIN02759,STUCK_OPEN
MODEL0034,VIN02760,STUCK_OPEN
MODEL0018,VIN02764,GOOD
MODEL0018,VIN02767,GOOD
MODEL0034,VIN02768,GOOD
MODEL0029,VIN02769,GOOD
MODEL0042,VIN02770,GOOD
MODEL0042,VIN02771,GOOD
MODEL0034,VIN02772,GOOD
MODEL0034,VIN02773,GOOD
MODEL0034,VIN02775,GOOD
MODEL0018,VIN02777,GOOD
MODEL0021,VIN02778,GOOD
MODEL0021,VIN02779,GOOD
MODEL0021,VIN02780,GOOD
MODEL0021,VIN02781,GOOD
MODEL0029,VIN02788,GOOD
MODEL0018,VIN02789,GOOD
MODEL0018,VIN02790,GOOD
MODEL0018,VIN02791,GOOD
MODEL0018,VIN02792,STUCK_OPEN
MODEL0018,VIN02793,STUCK_OPEN
MODEL0018,VIN02794,STUCK_OPEN
MODEL0042,VIN02796,STUCK_OPEN
MODEL0042,VIN02797,STUCK_OPEN
MODEL0042,VIN02798,NO_GO
MODEL0042,VIN02800,STUCK_OPEN
MODEL0042,VIN02801,NO_GO
MODEL0042,VIN02802,NO_GO
MODEL0042,VIN02803,STUCK_OPEN
MODEL0034,VIN02805,STUCK_OPEN
MODEL0022,VIN02808,NO_GO
MODEL0021,VIN02809,STUCK_OPEN
MODEL0021,VIN02810,NO_GO
MODEL0021,VIN02811,STUCK_PARTIALLY_OPEN
MODEL0021,VIN02813,STUCK_PARTIALLY_OPEN
MODEL0021,VIN02814,NO_GO
MODEL0029,VIN02818,STUCK_OPEN
MODEL0029,VIN02819,STUCK_OPEN
MODEL0029,VIN02821,STUCK_OPEN
MODEL0029,VIN02822,STUCK_OPEN
MODEL0029,VIN02825,STUCK_OPEN
MODEL0029,VIN02827,STUCK_OPEN
MODEL0096,VIN02830,STUCK_OPEN
MODEL0018,VIN02832,STUCK_OPEN
MODEL0018,VIN02834,STUCK_OPEN
